Run,Strategy,DataType,BTCChange%,PortfolioChange%
92,SimpleMomentum,Noise3,8.7877,10.4140
92,BollingerBands,Noise3,8.7877,0.0000
92,SimpleMomentum,Noise6,15.6051,24.1593
92,BollingerBands,Noise6,15.6051,41.5521
93,SimpleMomentum,Normal,1.5218,0.1243
93,BollingerBands,Normal,1.5218,-0.1721
93,SimpleMomentum,Noise3,1.1819,11.8247
93,BollingerBands,Noise3,1.1819,38.2379
93,SimpleMomentum,Noise6,-5.4697,24.7879
93,BollingerBands,Noise6,-5.4697,81.2401
94,SimpleMomentum,Normal,4.2592,2.3212
94,BollingerBands,Normal,4.2592,2.9192
94,SimpleMomentum,Noise3,-1.2499,8.5952
94,BollingerBands,Noise3,-1.2499,3.9864
94,SimpleMomentum,Noise6,-2.0026,21.1878
94,BollingerBands,Noise6,-2.0026,46.7594
95,SimpleMomentum,Normal,-1.7836,2.0531
95,BollingerBands,Normal,-1.7836,-4.2186
95,SimpleMomentum,Noise3,-1.7926,9.9742
95,BollingerBands,Noise3,-1.7926,44.7234
95,SimpleMomentum,Noise6,-5.0816,15.8566
95,BollingerBands,Noise6,-5.0816,46.0590
96,SimpleMomentum,Normal,-0.4498,0.3758
96,BollingerBands,Normal,-0.4498,3.6581
96,SimpleMomentum,Noise3,2.5080,7.5261
96,BollingerBands,Noise3,2.5080,0.0000
96,SimpleMomentum,Noise6,-4.6017,20.2950
96,BollingerBands,Noise6,-4.6017,0.0000
97,SimpleMomentum,Normal,-5.0364,0.0717
97,BollingerBands,Normal,-5.0364,-3.8609
97,SimpleMomentum,Noise3,4.6651,9.2570
97,BollingerBands,Noise3,4.6651,30.7722
97,SimpleMomentum,Noise6,9.5664,16.6527
97,BollingerBands,Noise6,9.5664,13.5850
98,SimpleMomentum,Normal,3.0611,0.6441
98,BollingerBands,Normal,3.0611,5.0368
98,SimpleMomentum,Noise3,6.2894,12.9482
98,BollingerBands,Noise3,6.2894,3.9864
98,SimpleMomentum,Noise6,20.1493,24.0221
98,BollingerBands,Noise6,20.1493,46.3488
99,SimpleMomentum,Normal,1.7197,0.0466
99,BollingerBands,Normal,1.7197,-0.2140
99,SimpleMomentum,Noise3,-2.2631,6.4245
99,BollingerBands,Noise3,-2.2631,13.5825
99,SimpleMomentum,Noise6,0.6717,15.0061
99,BollingerBands,Noise6,0.6717,169.6895
100,SimpleMomentum,Normal,-1.8974,-0.0099
100,BollingerBands,Normal,-1.8974,1.0755
100,SimpleMomentum,Noise3,-4.6377,8.8022
100,BollingerBands,Noise3,-4.6377,22.7842
100,SimpleMomentum,Noise6,-12.4772,10.5156
100,BollingerBands,Noise6,-12.4772,40.6792
