Timestamp,SRD-BTC_USD
2025-04-28 19:28:12,93698.0003034097
2025-04-28 19:28:42,93696.0006074193
2025-04-28 19:29:12,93696.0004991701
2025-04-28 19:29:42,93709.0007411840
2025-04-28 19:30:12,93709.0004826478
2025-04-28 19:30:42,93704.0005466606
2025-04-28 19:31:12,93704.0002050796
2025-04-28 19:31:42,93688.0001187081
2025-04-28 19:32:13,93688.0006659589
2025-04-28 19:32:43,93666.0007663917
2025-04-28 19:33:13,93666.0002790235
2025-04-28 19:33:43,93641.0005632700
2025-04-28 19:34:13,93641.0005039795
2025-04-28 19:34:43,93632.0007516452
2025-04-28 19:35:13,93632.0008325365
2025-04-28 19:35:43,93641.0003079060
2025-04-28 19:36:13,93641.0006820721
2025-04-28 19:36:44,93646.0005150691
2025-04-28 19:37:14,93646.0007349651
2025-04-28 19:37:44,93668.0004718781
2025-04-28 19:38:14,93668.0004296731
2025-04-28 19:38:44,93673.0008312500
2025-04-28 19:39:14,93673.0005317112
2025-04-28 19:39:44,93691.0004052167
2025-04-28 19:40:14,93691.0006429734
2025-04-28 19:40:44,93750.0004405011
2025-04-28 19:41:14,93750.0005711074
2025-04-28 19:41:44,93768.0006971109
2025-04-28 19:42:15,93768.0006233949
2025-04-28 19:42:45,93790.0005884445
2025-04-28 19:43:15,93790.0006168878
2025-04-28 19:43:45,93805.0007098611
2025-04-28 19:44:15,93805.0005379727
2025-04-28 19:44:45,93805.0004805378
2025-04-28 19:45:15,93803.0005900872
2025-04-28 19:45:45,93803.0005246881
2025-04-28 19:46:15,93817.0006513482
2025-04-28 19:46:45,93817.0004633219
2025-04-28 19:47:16,93836.0009529974
2025-04-28 19:47:46,93836.0001634881
2025-04-28 19:48:16,93855.0008171429
2025-04-28 19:48:46,93855.0004311240
2025-04-28 19:49:16,93880.0002767305
2025-04-28 19:49:46,93880.0007116464
2025-04-28 19:50:16,93903.0006938882
2025-04-28 19:50:46,93903.0006385986
2025-04-28 19:51:16,93921.0003704373
2025-04-28 19:51:46,93921.0001686407
2025-04-28 19:52:17,93931.0007523276
2025-04-28 19:52:47,93931.0003765258
2025-04-28 19:53:17,93959.0004654171
2025-04-28 19:53:47,93959.0007411259
2025-04-28 19:54:17,93965.0006122738
2025-04-28 19:54:47,93965.0007678920
2025-04-28 19:55:17,94008.0008298694
2025-04-28 19:55:47,94008.0003260944
2025-04-28 19:56:17,94013.0004816089
2025-04-28 19:56:47,94013.0003501571
2025-04-28 19:57:17,94018.0002385162
2025-04-28 19:57:48,94018.0003609199
2025-04-28 19:58:18,94035.0003568827
2025-04-28 19:58:48,94035.0003075839
2025-04-28 19:59:18,94044.0004440814
2025-04-28 19:59:48,94044.0003891424
2025-04-28 20:00:18,94034.0007074766
2025-04-28 20:00:48,94034.0004410796
2025-04-28 20:01:18,94047.0005994548
2025-04-28 20:01:48,94047.0002974198
2025-04-28 20:02:19,94057.0002969242
2025-04-28 20:02:49,94057.0007056022
2025-04-28 20:03:19,94090.0006868345
2025-04-28 20:03:49,94090.0006396089
2025-04-28 20:04:19,94088.0003626289
2025-04-28 20:04:49,94088.0006413443
2025-04-28 20:05:19,94065.0004699149
2025-04-28 20:05:49,94065.0007020423
2025-04-28 20:06:19,94037.0003548122
2025-04-28 20:06:49,94037.0006945553
2025-04-28 20:07:20,94036.0007796970
2025-04-28 20:07:50,94036.0005561795
2025-04-28 20:08:20,94036.0003539907
2025-04-28 20:08:50,94028.0009346122
2025-04-28 20:09:20,94028.0004496600
2025-04-28 20:09:50,94006.0009980955
2025-04-28 20:10:20,94006.0005529486
2025-04-28 20:10:50,94000.0007285098
2025-04-28 20:11:20,94000.0002866702
2025-04-28 20:11:50,93996.0005575391
2025-04-28 20:12:21,93996.0004246960
2025-04-28 20:12:51,93985.0002171820
2025-04-28 20:13:21,93985.0003741242
2025-04-28 20:13:51,93957.0009230724
2025-04-28 20:14:21,93957.0004448071
2025-04-28 20:14:51,93938.0005348355
2025-04-28 20:15:21,93938.0002242406
2025-04-28 20:15:51,93927.0006418727
2025-04-28 20:16:21,93927.0002472778
2025-04-28 20:16:51,93920.0008508095
2025-04-28 20:17:22,93920.0003833566
2025-04-28 20:17:52,93899.0005475658
2025-04-28 20:18:22,93899.0005644085
2025-04-28 20:18:52,93886.0005555365
2025-04-28 20:19:22,93886.0000531342
2025-04-28 20:19:52,93886.0006979079
2025-04-28 20:20:22,93886.0004578047
2025-04-28 20:20:52,93890.0006948000
2025-04-28 20:21:22,93890.0004231683
2025-04-28 20:21:52,93897.0003319371
2025-04-28 20:22:22,93897.0004568351
2025-04-28 20:22:53,93873.0005250263
2025-04-28 20:23:23,93873.0006603672
2025-04-28 20:23:53,93872.0005117456
2025-04-28 20:24:23,93872.0000934499
2025-04-28 20:24:53,93883.0004302716
2025-04-28 20:25:23,93883.0003216266
2025-04-28 20:25:53,93891.0004415647
2025-04-28 20:26:23,93891.0004671422
2025-04-28 20:26:53,93896.0006373467
2025-04-28 20:27:23,93896.0005641073
2025-04-28 20:27:54,93901.0004053537
2025-04-28 20:28:24,93901.0007991277
2025-04-28 20:28:54,93918.0004817266
2025-04-28 20:29:24,93918.0003671887
2025-04-28 20:29:54,93918.0003964483
2025-04-28 20:30:24,93918.0003737842
2025-04-28 20:30:54,93913.0003705959
2025-04-28 20:31:24,93913.0006345539
2025-04-28 20:31:54,93919.0004805668
2025-04-28 20:32:25,93919.0008082275
2025-04-28 20:32:55,93924.0006955818
2025-04-28 20:33:25,93924.0002831490
2025-04-28 20:33:55,93924.0002618751
2025-04-28 20:34:25,93936.0006021392
2025-04-28 20:34:55,93936.0004700860
2025-04-28 20:35:25,93918.0006306251
2025-04-28 20:35:55,93918.0003027465
2025-04-28 20:36:25,93900.0008232116
2025-04-28 20:36:56,93900.0009315337
2025-04-28 20:37:26,93902.0003006722
2025-04-28 20:37:56,93902.0002537691
2025-04-28 20:38:26,93921.0001529859
2025-04-28 20:38:57,93921.0003364188
2025-04-28 20:39:27,93940.0002556650
2025-04-28 20:39:57,93940.0005260440
2025-04-28 20:40:27,93952.0006409966
2025-04-28 20:40:57,93952.0006520665
2025-04-28 20:41:27,93962.0003574752
2025-04-28 20:41:57,93962.0006951879
2025-04-28 20:42:27,93978.0004139331
2025-04-28 20:42:57,93978.0003234048
2025-04-28 20:43:27,93982.0001389374
2025-04-28 20:43:58,93981.9999636474
2025-04-28 20:44:28,93993.0003240621
2025-04-28 20:44:58,93993.0008759034
2025-04-28 20:45:28,93992.0001773792
2025-04-28 20:45:58,93992.0003586383
2025-04-28 20:46:28,94004.0003991523
2025-04-28 20:46:58,94004.0005665393
2025-04-28 20:47:28,94011.0005591056
2025-04-28 20:47:58,94011.0004083886
2025-04-28 20:48:28,94016.0005868492
2025-04-28 20:48:59,94016.0005026343
2025-04-28 20:49:29,94051.0005464452
2025-04-28 20:49:59,94051.0006031603
2025-04-28 20:50:29,94069.0003563264
2025-04-28 20:50:59,94069.0004217993
2025-04-28 20:51:29,94086.0005537407
2025-04-28 20:51:59,94086.0005618413
2025-04-28 20:52:29,94110.0001628340
2025-04-28 20:52:59,94110.0002107713
2025-04-28 20:53:29,94128.0000461305
2025-04-28 20:54:00,94128.0001286378
2025-04-28 20:54:30,94143.0004885883
2025-04-28 20:55:00,94143.0004540574
2025-04-28 20:55:30,94142.0002149138
2025-04-28 20:56:00,94142.0004153257
2025-04-28 20:56:30,94147.0002139519
2025-04-28 20:57:00,94147.0006255366
2025-04-28 20:57:30,94163.0002666783
2025-04-28 20:58:00,94163.0004990191
2025-04-28 20:58:30,94176.0002777100
2025-04-28 20:59:01,94176.0005817695
2025-04-28 20:59:31,94184.0006362035
2025-04-28 21:00:01,94184.0003984730
2025-04-28 21:00:31,94184.0006258122
2025-04-28 21:01:01,94198.0004197259
2025-04-28 21:01:31,94198.0004973724
